Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	bkgdID
FRC	GO:0043062	extracellular structure organization	2/7	279/16289	0.005799812923730661	0.051847235772911435	0.022055802828408216	Sulf1/Sox9	2	Abl1/Abl2/Adamts1/Aebp1/Acan/Agt/Apbb1/Apbb2/Aplp1/Aplp2/App/Atp7a/Bcl3/Bmp2/Ddr1/Anxa2/Cav1/Cav2/Serpinh1/Mia/Cflar/Col10a1/Col11a1/Col11a2/Col13a1/Col14a1/Col15a1/Col17a1/Col18a1/Col3a1/Col4a1/Col4a2/Col4a3/Col4a4/Col4a5/Col5a1/Col5a2/Col8a1/Col9a1/Col9a2/Col9a3/Col1a1/Col1a2/Comp/Ctsg/Ctss/Cyp1b1/Cyp2j6/Dag1/Dmp1/Dpp4/Eln/Eng/Ercc2/Ext1/Ptk2/Fscn1/Fap/Fbln1/Fbln2/Fgfr4/Ccn2/Fkbp10/Foxc2/Foxf2/Flot1/Fn1/Gas2/Gfap/B4galt1/Pdpn/Gpm6b/Has1/Has2/Has3/Foxf1/Hpn/Hspg2/Idua/Ccn1/Il6/Itgb1/Itgb3/Itih1/Kif9/Lamb1/Lamb2/Lamb3/Lgals3/Lmx1b/Lox/Loxl1/Loxl3/Ltbp3/Lum/Smad3/Cma1/Foxc1/Mmp11/Mmp14/Mmp15/Mmp16/Mmp2/Mmp3/Mmp8/Mmp9/Mpv17/Myf5/Myh11/Nf1/Nfkb2/Nid1/Notch1/Ddr2/Tnfrsf11b/P4ha1/Pdgfra/Lcp1/Pmp22/Ptx3/Rb1/Scx/Sfrp2/Sema5a/Smarca4/Sox9/Spint1/Spint2/Tcf15/Tfap2a/Tgfb1/Tgfb2/Tgfbi/Tgfbr1/Tie1/Tnf/Tnfrsf1a/Tnfrsf1b/Vhl/Vtn/Adamts5/Ets1/Fbln5/Grem1/Mmp17/Dnajb6/Creb3l1/Plod3/Mmp23/Meltf/Adamts8/Postn/Tmem38b/Atxn1l/Prdx4/Reck/Col5a3/Egfl6/Ramp2/Tfip11/Hsd17b12/P3h1/Dpt/Klk4/Crtap/Ntn4/Mmp19/Efemp2/Smpd3/Smoc2/Smoc1/P3h4/Ier3ip1/Rgcc/Nepn/Slc39a8/Loxl4/Ccdc80/Ndnf/Col6a4/Antxr1/Pxdn/Col22a1/Gfod2/Prdm5/Col24a1/Myo1e/Noxo1/Sulf2/Hapln2/Nphp3/Vit/Mfap4/Clasp2/Clasp1/Col25a1/Adamtsl1/Adamtsl2/Crispld2/Ntng1/Tnxb/Tex14/Spock2/Col4a6/Loxl2/Pomt1/Emilin1/Adamts9/Ric8a/Exoc8/Phldb1/Qsox1/Vipas39/Kazald1/Col16a1/Ltbp4/Adamts7/Adamts6/Adtrp/Npnt/Mmp28/Slc2a10/Papln/Ntng2/Thsd4/Phldb2/Adamts18/Col28a1/Chadl/Adamts2/Scara3/Adamts20/Impg2/Adamts10/Ric1/Lamc1/Pbxip1/Adamtsl4/Adamts17/Vps33b/Csgalnact1/Colgalt1/Carmil2/Mmp27/Adamts15/Nox1/Adamts14/Col23a1/Adamts12/Mmp25/Adamts19/Sulf1/Adamts4/Itga8/Olfml2a/Col6a6/Vwa1/Sh3pxd2b/Egflam/Optc/Adamtsl3/Adamts16/Adamts13/Mpzl3/Olfml2b/Abi3bp/Serac1/Col8a2/Adamts3/Mia3/Col27a1/Lemd3/Colq/Flrt2/Ecm2/Hpse2/Hmcn1/Angptl7/Col6a5
FRC	GO:0002921	negative regulation of humoral immune response	1/7	14/16289	0.006001942210935196	0.051847235772911435	0.022055802828408216	Cr2	1	Serping1/Cd59a/Cr2/Cr1l/Cd55/Cd55b/Fcgr2b/Ptpn6/Foxj1/Masp1/Cd46/Susd4/A2m/Cd59b
FRC	GO:0003188	heart valve formation	1/7	14/16289	0.006001942210935196	0.051847235772911435	0.022055802828408216	Sox9	1	Efna1/Erg/Gata4/Gja5/Hey1/Hey2/Smad4/Notch1/Scx/Sox9/Twist1/Zfpm1/Zfpm2/Dchs1
FRC	GO:0030277	maintenance of gastrointestinal epithelium	1/7	14/16289	0.006001942210935196	0.051847235772911435	0.022055802828408216	Sox9	1	Muc13/Muc2/Rbp4/Slc22a5/Sox9/Strap/Tlr4/Slc22a21/Zfp830/Pbld2/Pbld1/Vsig1/Tlr9/Nod2
FRC	GO:1901201	regulation of extracellular matrix assembly	1/7	14/16289	0.006001942210935196	0.051847235772911435	0.022055802828408216	Sox9	1	Agt/Dag1/Has2/Smad3/Notch1/Sox9/Tie1/Rgcc/Antxr1/Clasp2/Clasp1/Emilin1/Phldb1/Phldb2
FRC	GO:1905939	regulation of gonad development	1/7	14/16289	0.006001942210935196	0.051847235772911435	0.022055802828408216	Sox9	1	Runx1/Gdf9/Insl3/Insr/Cited2/Sema3a/Sox9/Wnt4/Zfpm2/Nr5a1/Nupr1/Retn/Mfn2/Dhx37
FRC	GO:0030111	regulation of Wnt signaling pathway	2/7	294/16289	0.006421535954887209	0.051847235772911435	0.022055802828408216	Sulf1/Sox9	2	Abl1/Abl2/Macf1/Apc/Xiap/Apoe/App/Arntl/Atp6v0c/Axin1/Axin2/Bmp2/Btrc/Aspm/Ctnnb1/Ctnnd1/Cav1/Cdh1/Cdh2/Cdh3/Cmah/Col1a1/Csnk2a1/Dab2/Dapk3/Ddit3/Ddx3x/Eda/Egf/Egfr/Egr1/Emd/Lgr5/Fgf10/Fgf2/Fgf9/Fgfr2/Fgfr3/Foxl1/Folr1/Frat1/Fzd1/Fzd4/Fzd6/Fzd7/Fzd9/Gli1/Gli3/Gnaq/Gpc3/Grb10/Tle5/Gsc/Hdac2/Hhex/Hic1/Hmga2/Ilk/Invs/Isl1/Itga3/Jrk/Mdfic/Kpna1/Lats1/Lect2/Lef1/Lrp1/Lrp6/Smad3/Mbd2/Mdfi/Mdk/Mesp1/Usp34/Nfkb1/Nlk/Nog/Notch1/Ctnnd2/Nxn/Cdk14/Ppm1a/Ppm1b/Psen1/Ptpru/Ptpro/Rbpj/Rps12/Ruvbl2/Sfrp2/Sema5a/Sfrp1/Frzb/Sfrp4/Shh/Siah2/Snai2/Smarca4/Sox10/Sox13/Sox17/Sox2/Sox4/Sox7/Sox9/Spin1/Src/Stk11/Tcf7l2/Tert/Tgfb1/Thra/Tiam1/Tle1/Tle2/Tle3/Tle4/Tnfaip3/Tnks/Tpbg/Tsc2/Ube2b/Ccn4/Wnt10b/Wnt11/Wnt5a/Wnt5b/Yap1/Amfr/Apc2/Grem1/Pin1/Tlr2/Wif1/Zeb2/Mapk14/Ror2/Slc9a3r1/G3bp1/Csnk1e/Peg12/Limd1/Lats2/Dkkl1/Dkk3/Prkn/Reck/Snx3/Sfrp5/Otud5/Ift20/Stk3/Foxo1/Foxo3/Ruvbl1/Pfdn5/Gsk3b/Dkk2/Stk4/Dact1/Gprc5b/Scel/Vps35/Sostdc1/Sdhaf2/Tmem9/Klf15/Lrrk2/Rnf220/Gskip/Tmem88/Ctnnbip1/Nrarp/Ctdnep1/Frmd8/Chd8/Plpp3/Ccny/Bambi/Rnf146/Wls/Ift80/Ccdc88c/Cthrc1/Trpm4/Ubac2/Plekha4/Dab2ip/Mllt3/Fuz/Csnk1g3/Draxin/Atp6ap2/Ubr5/Ptk7/Mad2l2/Sulf2/Zbed3/Amer2/Nkd2/Amer1/2210016L21Rik/Rspo3/Nfatc4/Ttc21b/Cby1/Nphp3/Cyld/Tnks2/Sost/Lmbr1l/Usp47/Wnk2/Tax1bp3/Tbx18/Gid8/Daam2/Fam53b/Adgra2/Wwox/Tbl1xr1/Bicc1/Kremen1/Usp8/Csnk1a1/Vangl2/Nkd1/Wwtr1/Tmem64/Csnk1g2/Csnk1d/Prickle1/Kank1/Lgr4/Rapgef1/Lmx1a/Prdm15/Tle6/Ankrd6/Rspo1/Rbms3/Rnf43/Scyl2/Sox30/Cdc73/Csnk1g1/Nle1/Depdc1b/Shisa2/Ccar2/Alpk2/Lzts2/Ccnyl1/Lrp4/Tmem131l/Pbxip1/Vgll4/Wnk1/Caprin2/Ppm1n/Lrrk1/Ppp2r3a/Rspo2/Sulf1/Tsku/Disc1/Nphp4/Jade1/Vcp/Cxxc4/Tmem198/Lypd6/Mcc/Lgr6/Tnn/Shisa3/Dixdc1/Zfp703/Zranb1/Shisa6/Mks1/Tmem237/Znrf3/Otulin/Hdac1/Apcdd1/Gsk3a/Tmem170b/Dact3/Trabd2b/Rnf213/Tpbgl/Hm629797
FRC	GO:0060221	retinal rod cell differentiation	1/7	15/16289	0.006429468257296178	0.051847235772911435	0.022055802828408216	Sox9	1	Cfh/Ntrk2/Ptn/Sox8/Sox9/Naglu/Ahi1/Casz1/Rpgrip1/Bbs4/Rorb/Alms1/Rpgrip1l/Ccdc66/Miat
FRC	GO:0043010	camera-type eye development	2/7	295/16289	0.006464037970608016	0.051847235772911435	0.022055802828408216	Sox9/Maf	2	Ache/Acvr2b/Acvrl1/Cfd/Ahr/Aldh1a1/Apc/Aqp1/Atf4/Bak1/Bax/Bfsp1/Bmp4/Bmp7/Bmpr1b/Bmpr2/Bsg/C3/Cacna1c/Ctnnb1/Cdkn1b/Cdkn1c/Cfh/Clcn2/Col4a1/Col8a1/Cryaa/Cryab/Cryba1/Cryba4/Crybb1/Crybb3/Crygd/Crygs/Cyp1b1/Twist2/Dlg1/Dll1/Dlx1/Dlx2/Dscam/Egfr/Epha2/Ephb2/Fat1/Fgf10/Fgf2/Fgfr2/Fgfr3/Fjx1/Fkbp8/Foxc2/Foxf2/Flt1/Fzd4/Fzd5/Gas1/Gata3/Gdf11/Gpd2/Gja1/Gli3/Gnat1/Gnat2/Gnb1/Grcc10/Grn/Hcn1/Hdac2/Hes5/Hesx1/Hif1a/Hipk1/Hipk2/Hmgn1/Inhba/Jag1/Jun/Kdr/Kera/Klf4/Lama1/Lamb2/Lhx2/Lif/Limk2/Lmx1b/Lrp5/Lrp6/Mab21l1/Smad3/Maf/Man2a1/Mdm1/Meis1/Mertk/Foxc1/Mitf/Cited2/Myf5/Ndp/Nf1/Nf2/Ninj1/Notch2/Nrp1/Ntrk2/Ntrk3/Pcnt/Pdgfb/Pdgfra/Pdgfrb/Pitx2/Pitx3/Pknox1/Pou2f1/Med1/Prom1/Prox1/Ptn/Ptprm/Aldh1a2/Rara/Rarg/Rax/Rbp4/Rcn1/Ring1/Rom1/Rpgr/Rxra/Shh/Six5/Ski/Skil/Slc1a1/Smarca4/Sos1/Sox11/Sox2/Sox8/Sox9/Sp1/Sp3/Srf/Stra6/Tbx2/Zeb1/Tfap2a/Tgfb1/Tgfb2/Tgfbr1/Tgfbr2/Tgif1/Thrb/Thy1/Tmod1/Tub/Tulp1/Tulp3/Twist1/Vegfa/Vhl/Vim/Yy1/Ikzf1/Lamc3/Mab21l2/Nr2e3/Tenm3/Spry1/Spry2/Vax2/Zeb2/Hsf4/Map3k1/Cln8/Tcirg1/B9d1/Naglu/Bcar3/Clic4/Kdm2b/Atp8a2/Uchl3/Ahi1/Nphp1/Irx5/Dll4/Cacna1f/Arl6/Fzr1/Pfdn5/Aldh1a3/Cdon/Bcl11b/Nectin1/Nectin3/Bhlhe22/Twsg1/Smarcd3/Tbc1d20/Agtpbp1/Ift172/Rpl24/Pygo2/Casz1/Mterf4/Pds5a/Cabp4/Traf3ip1/Rd3/Ttc8/Mfsd2a/Myh10/Rpgrip1/Rhoj/Ift122/Ctns/Arid1a/Rdh10/Obsl1/Tdrd7/Phactr4/Pds5b/Zfp513/Spred3/Bbs4/Cdk20/Scrib/Ift140/Dio3/Osr2/Jmjd6/Bfsp2/Celf4/Grm6/Rdh13/Shroom2/Foxp2/Spred1/Spred2/Mfn2/Hps1/Nhs/Lpcat1/Rho/Wdr19/Megf11/Crygn/Cep290/Wdpcp/Slc4a7/Rarb/Impg2/Crybg3/Pde6a/Plaat3/Rorb/Rab3gap1/Slc25a25/Tgif2/Kmt2c/Cc2d2a/Arhgap35/Gpm6a/Tmem231/Alms1/Sdk2/Slitrk6/Tsku/Rpgrip1l/Scaper/Grhl2/Mfrp/Nphp4/Rab11fip4/Tspan12/Fat3/Ephb1/Ccdc66/Ttll5/Vstm4/Chd7/Frs2/Abi2/Col8a2/Miat/Sdk1/Ppp1r13l/Zhx2/Hdac1/Arhgef15/Tbc1d32/Angptl7
FRC	GO:0030502	negative regulation of bone mineralization	1/7	17/16289	0.007284047529526827	0.051847235772911435	0.022055802828408216	Sox9	1	Ahsg/Ccr1/Ecm1/Gata1/Hif1a/Ltbp3/Nfe2/Enpp1/Srgn/Ptk2b/Sox9/Grem1/Fgf23/Trpm4/Bcor/Rflna/Rflnb
FRC	GO:0072079	nephron tubule formation	1/7	17/16289	0.007284047529526827	0.051847235772911435	0.022055802828408216	Sox9	1	Ctnnb1/Gata3/Gdnf/Hes5/Irx1/Irx2/Irx3/Nog/Six1/Six4/Sox8/Sox9/Wnt9b/Wnt6/Grem1/Hs2st1/Osr1
FRC	GO:0098743	cell aggregation	1/7	17/16289	0.007284047529526827	0.051847235772911435	0.022055802828408216	Sox9	1	Acan/Barx2/Bmpr1b/Col11a1/Ccn2/Ltf/Mpz/Myf5/Mycn/Pkd1/Sox5/Sox6/Sox9/Tgfb2/Thra/Mapk14/Ror2
FRC	GO:0098974	postsynaptic actin cytoskeleton organization	1/7	17/16289	0.007284047529526827	0.051847235772911435	0.022055802828408216	Actr3	1	Actb/Arf1/Dbnl/Rock2/Arhgef7/Dbn1/Nos1ap/Wasl/Actr3/Myh10/Adgrb1/Sipa1l1/Farp1/Wasf2/Ppp1r9a/Abi2/Frmpd4
FRC	GO:0099188	postsynaptic cytoskeleton organization	1/7	17/16289	0.007284047529526827	0.051847235772911435	0.022055802828408216	Actr3	1	Actb/Arf1/Dbnl/Rock2/Arhgef7/Dbn1/Nos1ap/Wasl/Actr3/Myh10/Adgrb1/Sipa1l1/Farp1/Wasf2/Ppp1r9a/Abi2/Frmpd4
FRC	GO:0002923	regulation of humoral immune response mediated by circulating immunoglobulin	1/7	18/16289	0.007711100852246244	0.051847235772911435	0.022055802828408216	Cr2	1	Cr2/Cr1l/Cd55/Cd55b/Fcer2a/Fcgr2b/Ptpn6/Foxj1/Hpx/Lta/Cd46/Ptprc/Tnf/Gimap3/Trem2/Susd4/Nod2/Gimap5
FRC	GO:0007530	sex determination	1/7	18/16289	0.007711100852246244	0.051847235772911435	0.022055802828408216	Sox9	1	Amh/Ar/Dhh/Fgf9/Gnrh1/Igf1r/Insr/Cited2/Six4/Sox9/Tcf21/Wnt4/Sf1/Insrr/Map3k4/Nr5a1/Tmem184a/Rsl1
FRC	GO:0014048	regulation of glutamate secretion	1/7	18/16289	0.007711100852246244	0.051847235772911435	0.022055802828408216	Dpysl2	1	Adora1/Adora2a/Avp/Cck/Dpysl2/Nr3c1/Il1b/Il1rn/P2rx7/Snca/Stxbp1/Syt4/Trh/Avpr1a/Gabbr1/Dtnbp1/Kmo/Rab3gap1
FRC	GO:0040037	negative regulation of fibroblast growth factor receptor signaling pathway	1/7	18/16289	0.007711100852246244	0.051847235772911435	0.022055802828408216	Sulf1	1	Gata3/Gpc1/Ngfr/Tcf7l2/Thbs1/Wnt4/Wnt5a/Spry1/Spry2/Spry4/Creb3l1/Apln/Fuz/Sulf2/Fgfrl1/Shisa2/Ofd1/Sulf1
FRC	GO:0060009	Sertoli cell development	1/7	18/16289	0.007711100852246244	0.051847235772911435	0.022055802828408216	Sox9	1	Cftr/Hsd17b4/Icam1/Il1a/Map7/Ntrk1/Abcb1a/Sox8/Sox9/Atrx/Adrm1/Rab13/Nup210l/Arid4b/Akap9/Flna/Arid4a/Fndc3a
FRC	GO:0090190	positive regulation of branching involved in ureteric bud morphogenesis	1/7	18/16289	0.007711100852246244	0.051847235772911435	0.022055802828408216	Sox9	1	Agt/Agtr1a/Agtr2/Bmp4/Gdnf/Hoxb7/Nog/Six1/Six4/Sox8/Sox9/Tgfb1/Vegfa/Wnt2b/Grem1/Maged1/Lgr4/Smo
FRC	GO:0010763	positive regulation of fibroblast migration	1/7	19/16289	0.008137996697248795	0.051847235772911435	0.022055802828408216	Actr3	1	Acta2/Ager/Akt1/Dmtn/Ptk2/Fgfr1/Itgb1/Itgb3/Ddr2/Pak1/Pak3/Prkce/Slc8a1/Tgfb1/Thbs1/Tsc2/Bag4/Actr3/Akap12
FRC	GO:0030449	regulation of complement activation	1/7	19/16289	0.008137996697248795	0.051847235772911435	0.022055802828408216	Cr2	1	Cd5l/Serping1/C1qbp/C3/Cd59a/Cfh/Cfi/Cr2/Cr1l/Cd55/Cd55b/Il1b/Masp1/Cd46/Phb/Trem2/Susd4/A2m/Cd59b
FRC	GO:0060602	branch elongation of an epithelium	1/7	19/16289	0.008137996697248795	0.051847235772911435	0.022055802828408216	Sox9	1	Areg/Bmp4/Esr1/Fgf1/Fgf10/Fgfr2/Med1/Shh/Six1/Six4/Sox9/Tgfb1/Tnc/Wnt5a/Yap1/Spry1/Spry2/Rdh10/Tmtc3
FRC	GO:0003180	aortic valve morphogenesis	1/7	20/16289	0.008564735112929323	0.051847235772911435	0.022055802828408216	Sox9	1	Bmp4/Efna1/Gata3/Gata4/Hey1/Hey2/Smad6/Nfatc1/Nos3/Notch1/Rb1/Robo1/Slit2/Slit3/Sox9/Tgfb1/Tie1/Twist1/Emilin1/Robo2
FRC	GO:0030903	notochord development	1/7	20/16289	0.008564735112929323	0.051847235772911435	0.022055802828408216	Sox9	1	Cobl/Col13a1/Efna1/Epha2/Gdf3/Gli1/Gli2/Id3/Nog/Stil/Sox9/T2/Tead1/Tead2/Kdm6a/Wnt11/Wnt5a/Yap1/Nckap1/Ppp1r35
FRC	GO:0090189	regulation of branching involved in ureteric bud morphogenesis	1/7	20/16289	0.008564735112929323	0.051847235772911435	0.022055802828408216	Sox9	1	Agt/Agtr1a/Agtr2/Bmp4/Gdnf/Hoxb7/Nog/Six1/Six2/Six4/Sox8/Sox9/Tgfb1/Vegfa/Wnt2b/Grem1/Tacstd2/Maged1/Lgr4/Smo
FRC	GO:2000136	regulation of cell proliferation involved in heart morphogenesis	1/7	20/16289	0.008564735112929323	0.051847235772911435	0.022055802828408216	Sox9	1	Bmp4/Bmpr2/Ctnnb1/Eya1/Gng5/Hand2/Hes1/Isl1/Lrp6/Smad4/Naca/Notch1/Pim1/Rbpj/Six1/Sox9/Tbx1/Tbx3/Tbx5/Mks1
FRC	GO:2000251	positive regulation of actin cytoskeleton reorganization	1/7	20/16289	0.008564735112929323	0.051847235772911435	0.022055802828408216	Actr3	1	Abl1/Cdc42/Csf3/Fes/Hck/Hras/Nrp1/Ntf3/Ntrk3/Ccl27a/Tek/Hax1/Stap1/Baiap2l1/Actr3/Arpc2/Baiap2/Bcas3/Baiap2l2/Rapgef3
FRC	GO:2000738	positive regulation of stem cell differentiation	1/7	20/16289	0.008564735112929323	0.051847235772911435	0.022055802828408216	Sox9	1	Gata4/Gata6/Hoxb4/Ltbp3/Foxc1/Ptn/Sox5/Sox6/Sox9/Tbx5/Tcf15/Tgfb2/Mtch2/Gsk3b/Tacstd2/Nudt21/Dhx36/Vsir/Pwp1/Rbm24
FRC	GO:0008356	asymmetric cell division	1/7	21/16289	0.00899131614767057	0.0521035243429115	0.02216482793037999	Actr3	1	Aspm/Fgf13/Hoxc4/Arhgef2/Pou5f1/Rab10/Sox5/Stra8/Tead3/Wnt9b/Cntrl/Rgs14/Actr2/Dock7/Ing2/Actr3/Golga2/Etv5/Dicer1/Insc/Zbtb16
FRC	GO:0048638	regulation of developmental growth	2/7	355/16289	0.009251199325055429	0.05237213531024773	0.022279094977500195	Dpysl2/Actr3	2	Aatk/Abl1/Macf1/Actn3/Adnp/Parp2/Adrb1/Adrb2/Adrb3/Agrn/Agt/Ahr/Akt1/Slc25a4/Apc/Apoe/App/Ar/Rnd2/Arx/Atp5g1/Atrn/Bcl2/Bdnf/Bcl2l11/Bmp4/Bmpr1a/Bmpr2/C3/Cacna1c/Capn3/Cav3/Cdk1/Cdh4/Cdk4/Cdk5/Cdk5r1/Cdkn1a/Cdkn1b/Cfl1/Cxcr4/Ccr5/Cntf/Col14a1/Crabp2/Creb1/Dpysl2/Csf1/Cttn/Celf1/Cxadr/Daxx/Dbnl/Dlg1/Dll1/Dnm2/Dscam/Edn1/Efna5/Epha7/Bcl11a/Ptk2/Fgf13/Fgf2/Fgf9/Fgfr1/Fgfr2/Fgfr3/Foxc2/Foxs1/Flt3/Fn1/Fxn/G6pdx/Gamt/Gata4/Gata6/Gdf5/Gdi1/Gh/Ghr/Ghrhr/Gja1/Gli1/Gnas/Gpam/Nr3c1/H19/Hdac2/Hdac3/Hey2/Hlx/Hmga2/Hnrnpk/Hsf1/Slc6a4/Ifrd1/Igf1/Igf1r/Igf2/Il7/Ilk/Insr/Jarid2/Kcnk2/L1cam/Lats1/Lep/Limk1/Lrp1/Smad7/Mag/Mecp2/Mef2c/Meis1/Men1/Foxc1/Afdn/Cited2/Mt3/Map1b/Map2/Mapt/Mtm1/Myo5b/Myod1/Naca/Ncam1/Ngf/Nkx6-1/Nog/Notch1/Nppc/Npy1r/Nrp1/Musk/Ntn1/Ntrk3/Omg/Pafah1b1/Pak1/Pik3ca/Pim1/Plaa/Serpine1/Plcb1/Plxna3/Pou3f2/Ppara/Ppard/Ppib/Prkdc/Mapk11/Prox1/Lgmn/Ptch1/Pten/Ptger4/Ptprs/Pex5/Rai1/Rasal1/Rbp4/Rbpj/Rgs2/Rgs4/Ncor1/Ryk/Atxn2/Cxcl12/Sema3a/Sema3b/Sema3c/Sema3e/Sema3f/Sema4a/Sema4b/Sema4c/Sema4d/Sema4f/Sema5a/Sema5b/Sema6a/Sema6b/Sema6c/Sema7a/Sgpl1/Itsn2/Cyfip1/Siah1a/Sin3a/Six1/Six4/Slit2/Sod1/Spr/Srf/Stat3/Stat5a/Stat5b/Stc2/Suv39h1/Syt1/Syt2/Syt3/Syt4/Tbx2/Tbx5/Tcf7l2/Tgfbr1/Tgfbr2/Tgfbr3/Trpc5/Tshr/Ulk1/Vegfa/Vil1/Ezr/Trpv2/Ccn4/Wnt2/Wnt5a/Yap1/Yy1/Zfpm2/Ikzf1/Agr2/Gdf15/Mgll/Pin1/Twf2/Fto/Mapk1/Mapk14/Sema4g/Tnfrsf12a/Serp1/Tomm70a/Ulk2/Lats2/Atp8a2/Prkn/Wwc2/Rufy3/Ddx39b/Rab11a/Golga4/Slc23a2/Sh3glb1/Olfm1/Stk3/Dbn1/Ybx3/Gsk3b/Mtor/Cacna2d2/Stk4/Myoz1/Mkks/Dusp10/Sav1/Htra2/Rtn4r/Lpar3/Hamp2/Bbs2/Dusp6/Ctdp1/Rpl4/Mul1/Rtn4/Afg3l2/Ttl/Draxin/Nipbl/Spaar/Shtn1/Map3k13/Ist1/Rps6kb1/Sgip1/Pi16/Actr3/Sash3/Rnf6/Hopx/Tnks2/Dusp9/Smurf1/Clasp2/Mfsd2a/Sptbn4/Cacng7/Ndel1/Nedd4l/Hamp/Sirt1/Nkd1/P2rx5/Anapc2/Acacb/Gpat4/Bbs4/Cdk20/Trip10/Dio3/Sema3d/Foxp1/Mbd5/Syt17/Fdps/Rims1/Rims2/Ghsr/Cpne9/Nrg1/Wwc1/Cdkl3/Sema6d/Socs2/Rab21/Rnf157/Eif2b2/Sema3g/Eppk1/Gjd4/Wdr36/Flvcr1/Spg20/Zmpste24/Plac8/Vgll4/Ankrd26/Zfp418/Picalm/Alms1/Akap6/Dip2b/Cpne5/Plxna4/Rgma/Disc1/Sh3pxd2b/Ccnb1/Megf8/Zfyve27/Smo/Islr2/Chd7/Gpr21/Trim46/Unc13a/Cdkl5/Colq/Gsk3a
FRC	GO:1902894	negative regulation of miRNA transcription	1/7	22/16289	0.009417739849844509	0.05237213531024773	0.022279094977500195	Sox9	1	App/Bmp4/Gata6/Lilrb4a/Hdac2/Nfatc3/Nfib/Pdgfb/Ppara/Ppard/Pparg/Rara/Rela/Rest/Sox9/Srf/Tgfb1/Tgfbr1/Yy1/Nfatc4/Hdac4/Zfp512b
FRC	GO:0035988	chondrocyte proliferation	1/7	23/16289	0.009844006267810568	0.05237213531024773	0.022279094977500195	Sox9	1	Bmpr2/Col9a1/Comp/Ext1/Ccn2/Grn/Hmga2/Lef1/Ltf/Smad7/Mmp14/Mmp16/Ccn3/Ddr2/Prkg2/Six2/Sox9/Stc1/Sirt6/Scube2/Mustn1/Golgb1/Pbxip1
FRC	GO:0003094	glomerular filtration	1/7	24/16289	0.01027011544991574	0.05237213531024773	0.022279094977500195	Sulf1	1	Adora1/Aqp1/Cyba/Ednra/Emp2/F2r/F2rl1/Gas6/Gja1/Gja5/Rhpn1/Jchain/Pdgfb/Ptpro/Rhpn2/Myo1e/Sulf2/Kirrel/Tmem63c/Adgrf5/Coro2b/Sulf1/Tbc1d8b/Xpnpep3
FRC	GO:0051957	positive regulation of amino acid transport	1/7	24/16289	0.01027011544991574	0.05237213531024773	0.022279094977500195	Dpysl2	1	Adora2a/Agt/Avp/Cck/Dpysl2/Nr3c1/Itgb1/P2rx7/Psen1/Slc12a2/Stxbp1/Syt4/Trh/Avpr1a/Arl6ip1/Gabbr1/Ace2/Slc38a3/Dtnbp1/Kmo/Rab3gap1/Slc6a1/Slc36a2/Abat
FRC	GO:0090103	cochlea morphogenesis	1/7	24/16289	0.01027011544991574	0.05237213531024773	0.022279094977500195	Sox9	1	Dvl1/Dvl2/Dvl3/Eya1/Gli2/Hoxa1/Hpn/Pou3f4/Rac1/Frzb/Six1/Sox9/Tbx1/Tbx2/Zeb1/Tshr/Wnt5a/Fzd2/Cthrc1/Ptk7/Tbx18/Vangl2/Tifab/Myo3b
FRC	GO:0110150	negative regulation of biomineralization	1/7	24/16289	0.01027011544991574	0.05237213531024773	0.022279094977500195	Sox9	1	Ahsg/Ccr1/Ecm1/Gas6/Gata1/Hey1/Hey2/Hif1a/Ltbp3/Nfe2/Nos3/Notch1/Enpp1/Srgn/Ptk2b/Sox9/Tgfb1/Grem1/Fgf23/Aspn/Trpm4/Bcor/Rflna/Rflnb
