Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BEC	GO:0040012	regulation of locomotion	26/186	654/9477	4.2464146376649045e-4	0.023466197944520276	0.01965831040961984	Hmgb1/Fut7/Jam3/Atp2b4/Mpzl1/Arhgap18/Cd81/Enpp2/Tgfbr3/Prcp/Bsg/Aqp1/Chst2/Spint2/Cav1/Gna12/Apoe/Tie1/Dusp3/Nrp1/Plk2/Tgfb1/Glul/F2r/Cldn5/Ccl21a	26
BEC	GO:0043085	positive regulation of catalytic activity	27/186	691/9477	4.283279067739938e-4	0.023466197944520276	0.01965831040961984	Chp2/Pink1/Hmgb1/Bok/Gnas/Dap/Atp2b4/C1qtnf9/Dbi/Cd81/Psap/Ctsd/Psen2/Timp2/Scarb1/Cav1/Mtch1/Cd24a/Gna12/Erp29/Apoe/Tie1/Tgfb1/Hmgb2/Cav2/F2r/Ccl21a	27
BEC	GO:0060548	negative regulation of cell death	27/186	691/9477	4.283279067739938e-4	0.023466197944520276	0.01965831040961984	Pink1/Atox1/Bok/Gpx4/Pdcd4/Abcb1a/Cst3/Pde2a/Psap/Tgfbr3/Bnip3l/Psen2/Cd34/Nr4a1/Aqp1/Nenf/Tsc22d1/Ptms/Cav1/Btg2/Higd2a/Apoe/Nrp1/Plk2/Hmgb2/F2r/Ccl21a	27
BEC	GO:0051050	positive regulation of transport	23/186	553/9477	5.012477784470164e-4	0.02648396049073334	0.02218637707880237	Chp2/Pink1/Bok/Gnas/Mfge8/Abcb1a/Dpysl2/Dbi/Cd81/Scp2/Ifngr1/Bsg/Aqp1/Ergic3/Cav1/Pltp/Apoe/Tgfb1/Glul/Slc9a3r2/F2r/Cxcl1/Ccl21a	23
BEC	GO:0050999	regulation of nitric-oxide synthase activity	4/186	20/9477	5.44095360413594e-4	0.027835227724016087	0.02331837258915403	Atp2b4/Scarb1/Cav1/Apoe	4
BEC	GO:0048646	anatomical structure formation involved in morphogenesis	27/186	703/9477	5.601409211321543e-4	0.02820834670013958	0.02363094511026276	Hmgb1/Clec14a/Gnas/Jam3/Atp2b4/Mfge8/Gtf2i/Tspan12/Cd81/Psap/Enpp2/Tgfbr3/Prcp/Psen2/Cd34/Bsg/Nr4a1/Aqp1/Spint2/Cav1/Meox1/Tie1/Nrp1/Plk2/Tgfb1/Glul/Cldn5	27
BEC	GO:0043410	positive regulation of MAPK cascade	15/186	290/9477	5.752549425471935e-4	0.028523795074301608	0.023895205305806504	Hmgb1/Igfbp4/Prxl2c/Cd81/Psap/Timp2/Nenf/Cd24a/Erp29/Apoe/Nrp1/Tgfb1/Cav2/F2r/Ccl21a	15
BEC	GO:0006629	lipid metabolic process	27/186	708/9477	6.248553165631227e-4	0.02990068967556925	0.02504866960100434	Sult1a1/Gstm1/Fut7/Gpx4/Gm2a/Tecr/C1qtnf9/Fabp4/Sptssa/Fuca1/Dbi/Cd81/Scp2/Psap/Enpp2/Cyb5a/Ech1/Cyb5r3/St3gal6/Scarb1/Fabp5/Cav1/Pltp/Apoe/Tgfb1/Mgll/Ccl21a	27
BEC	GO:0032787	monocarboxylic acid metabolic process	15/186	296/9477	7.111549870580456e-4	0.032282429905465926	0.027043922043052438	Prxl2c/Gpx4/Tecr/C1qtnf9/Fabp4/Pnkd/Dbi/Scp2/Cyb5a/Ech1/Fabp5/Cav1/Mpc1/Ddit4/Mgll	15
BEC	GO:0097028	dendritic cell differentiation	4/186	22/9477	7.966579324651702e-4	0.03427224310524228	0.028710845915033877	Hmgb1/Tmem176a/Tmem176b/Tgfb1	4
BEC	GO:0075509	endocytosis involved in viral entry into host cell	3/186	10/9477	8.06428660843199e-4	0.03427224310524228	0.028710845915033877	Ctsl/Cav1/Cav2	3
BEC	GO:0031960	response to corticosteroid	5/186	38/9477	8.187907909102252e-4	0.03427224310524228	0.028710845915033877	Sult1a1/Hmgb1/Aqp1/Ddit4/Tgfb1	5
BEC	GO:0051384	response to glucocorticoid	5/186	38/9477	8.187907909102252e-4	0.03427224310524228	0.028710845915033877	Sult1a1/Hmgb1/Aqp1/Ddit4/Tgfb1	5
BEC	GO:0050818	regulation of coagulation	5/186	39/9477	9.244427219360955e-4	0.037714922693671334	0.03159487783832225	Psen2/Cd34/Cav1/Apoe/F2r	5
BEC	GO:0051336	regulation of hydrolase activity	23/186	582/9477	0.0010105155032983507	0.040208536631241784	0.03368385010994503	Chp2/Pink1/Hmgb1/Bok/Gnas/Dap/Cst3/Stmn1/Psap/Ctsd/Timp2/Nr4a1/Aqp1/Spint2/Cav1/Mtch1/Lxn/Gna12/Itih5/Hmgb2/Cav2/F2r/Ccl21a	23
BEC	GO:0034367	protein-containing complex remodeling	3/186	11/9477	0.0010928775885760526	0.041932672237864496	0.035128208204230266	Scarb1/Pltp/Apoe	3
BEC	GO:0045019	negative regulation of nitric oxide biosynthetic process	3/186	11/9477	0.0010928775885760526	0.041932672237864496	0.035128208204230266	Atp2b4/Cd34/Cav1	3
BEC	GO:1904406	negative regulation of nitric oxide metabolic process	3/186	11/9477	0.0010928775885760526	0.041932672237864496	0.035128208204230266	Atp2b4/Cd34/Cav1	3
BEC	GO:0007519	skeletal muscle tissue development	8/186	106/9477	0.001108931194455207	0.04204806164387214	0.035224873235635994	Nr4a1/Eln/Hmg20b/Cav1/Btg2/Vamp5/Tgfb1/Cav2	8
BEC	GO:0008037	cell recognition	6/186	61/9477	0.0011953019964238585	0.043777935619023815	0.03667403852664112	Mfge8/Cd81/Bsg/Scarb1/Nrp1/Ccl21a	6
BEC	GO:0007186	G protein-coupled receptor signaling pathway	12/186	219/9477	0.0012501019747926329	0.04527054679501861	0.03792444193191134	Gnas/Atp2b4/Gng11/Pde2a/Stmn1/Psap/Cav1/Gna12/Apoe/Mgll/F2r/Ccl21a	12
BEC	GO:0046470	phosphatidylcholine metabolic process	4/186	25/9477	0.0013158105233881353	0.04660282765802154	0.039040532012615	Dbi/Enpp2/Scarb1/Fabp5	4
BEC	GO:0034694	response to prostaglandin	3/186	12/9477	0.0014362134967102493	0.048972134996520894	0.04102536906317295	Gnas/Tgfbr3/Ccl21a	3
BEC	GO:0034695	response to prostaglandin E	3/186	12/9477	0.0014362134967102493	0.048972134996520894	0.04102536906317295	Gnas/Tgfbr3/Ccl21a	3
BEC	GO:1901136	carbohydrate derivative catabolic process	7/186	86/9477	0.0014579193213286584	0.048972134996520894	0.04102536906317295	Ctsl/Gm2a/Pde2a/Fuca1/Psap/Pglyrp1/Tgfb1	7
BEC	GO:0006935	chemotaxis	14/186	288/9477	0.0015886584424629848	0.0506955065352297	0.04246908707574317	Cmtm8/Hmgb1/Jam3/Dpysl2/Enpp2/Plgrkt/Bsg/Nr4a1/Dusp3/Nrp1/Tgfb1/Hmgb2/Cxcl1/Ccl21a	14
BEC	GO:0055085	transmembrane transport	22/186	566/9477	0.0016139855555567001	0.05099877887803181	0.042723147058853835	Atox1/Atp2b4/Abcb1a/Tcn2/Slc29a1/Tspan13/Slco2b1/Dbi/Slc6a6/Psen2/Ifngr1/Aqp1/Scarb1/Fabp5/Abcg2/Cav1/Mpc1/Romo1/Tgfb1/Slc9a3r2/F2r/Ccl21a	22
BEC	GO:0002523	leukocyte migration involved in inflammatory response	3/186	13/9477	0.0018402507581114025	0.05248786011852257	0.0439705933354052	Fut7/Jam3/Cd24a	3
BEC	GO:0042159	lipoprotein catabolic process	3/186	13/9477	0.0018402507581114025	0.05248786011852257	0.0439705933354052	Abhd17a/Ctsd/Apoe	3
BEC	GO:0051180	vitamin transport	3/186	13/9477	0.0018402507581114025	0.05248786011852257	0.0439705933354052	Tcn2/Scarb1/Abcg2	3
BEC	GO:0071549	cellular response to dexamethasone stimulus	3/186	13/9477	0.0018402507581114025	0.05248786011852257	0.0439705933354052	Aqp1/Ddit4/Tgfb1	3
BEC	GO:0045834	positive regulation of lipid metabolic process	7/186	90/9477	0.0018985747233576517	0.05367637134545361	0.044966243447944386	Dbi/Cd81/Scp2/Scarb1/Apoe/Tgfb1/Ccl21a	7
BEC	GO:0051099	positive regulation of binding	9/186	143/9477	0.001985423540437095	0.05469247923785262	0.04581746631777912	Hmgb1/Stmn1/H1f0/Cav1/Apoe/Plk2/Tgfb1/Hmgb2/Cldn5	9
BEC	GO:0002861	regulation of inflammatory response to antigenic stimulus	3/186	14/9477	0.0023085162205319955	0.05905037919662398	0.049468204725685624	Fut7/Cd81/Cd24a	3
BEC	GO:0046794	transport of virus	3/186	14/9477	0.0023085162205319955	0.05905037919662398	0.049468204725685624	Ctsl/Cav1/Cav2	3
BEC	GO:0046631	alpha-beta T cell activation	7/186	95/9477	0.0025872797632383563	0.06365498226654367	0.05332561344079055	Hmgb1/Fut7/Ctsl/Cd81/Psap/Cd24a/Tgfb1	7
BEC	GO:0070633	transepithelial transport	3/186	15/9477	0.0028442611294552046	0.0655685871517455	0.05492869541101858	Abcb1a/Aqp1/Abcg2	3
BEC	GO:0006809	nitric oxide biosynthetic process	5/186	50/9477	0.002859303797296031	0.0655685871517455	0.05492869541101858	Atp2b4/Spr/Cd34/Cyb5r3/Cav1	5
BEC	GO:0035924	cellular response to vascular endothelial growth factor stimulus	5/186	50/9477	0.002859303797296031	0.0655685871517455	0.05492869541101858	Atp2b4/Tspan12/Ptp4a3/Nr4a1/Nrp1	5
BEC	GO:0009617	response to bacterium	15/186	342/9477	0.0029699002552908273	0.06740836987888969	0.05646993443158616	Hmgb1/Pdcd4/Fabp4/Pde2a/Glycam1/Aqp1/Scarb1/Cav1/Cd24a/Pglyrp1/Romo1/Tgfb1/Hmgb2/F2r/Cxcl1	15
BEC	GO:0050806	positive regulation of synaptic transmission	6/186	74/9477	0.003233555075335474	0.07089624495106281	0.05939182791432504	Pink1/Dbi/Apoe/Paip2/Plk2/Glul	6
BEC	GO:0060249	anatomical structure homeostasis	9/186	154/9477	0.003280357396862477	0.0714364316897822	0.0598443579157344	Gnas/Abcb1a/Tpp1/Psen2/Cd34/Bsg/Tgfb1/F2r/Cldn5	9
BEC	GO:0002082	regulation of oxidative phosphorylation	3/186	16/9477	0.0034504726569292887	0.07221346346287726	0.060495299829279744	Pink1/Cox7a2l/Pde2a	3
BEC	GO:0007588	excretion	3/186	16/9477	0.0034504726569292887	0.07221346346287726	0.060495299829279744	Gnas/Psap/Abcg2	3
BEC	GO:0010875	positive regulation of cholesterol efflux	3/186	16/9477	0.0034504726569292887	0.07221346346287726	0.060495299829279744	Cav1/Pltp/Apoe	3
BEC	GO:0044058	regulation of digestive system process	3/186	16/9477	0.0034504726569292887	0.07221346346287726	0.060495299829279744	Abcb1a/Aqp1/Abcg2	3
BEC	GO:0046209	nitric oxide metabolic process	5/186	53/9477	0.003694009817761751	0.07583308052640843	0.06352755737552057	Atp2b4/Spr/Cd34/Cyb5r3/Cav1	5
BEC	GO:0061844	antimicrobial humoral immune response mediated by antimicrobial peptide	4/186	33/9477	0.0037671236889042546	0.07636125565621643	0.06397002490592131	Pglyrp1/Romo1/Cxcl1/Ccl21a	4
BEC	GO:0051651	maintenance of location in cell	8/186	129/9477	0.0038297285470165004	0.07714509441896363	0.06462666923090346	Pink1/Dbi/Cav1/Kdelr1/Apoe/Tgfb1/F2r/Ccl21a	8
BEC	GO:0010942	positive regulation of cell death	18/186	460/9477	0.004006685940462388	0.07922422568165814	0.06636841741870214	Hmgb1/Bok/Tle5/Pdcd4/Scp2/Ctsd/Slc6a6/Bnip3l/Psen2/Nr4a1/Ctsz/Tsc22d1/Cav1/Mtch1/Cd24a/Apoe/Ddit4/Tgfb1	18
BEC	GO:0051930	regulation of sensory perception of pain	3/186	17/9477	0.004129885047876121	0.08010499780493724	0.0671062656138165	Fabp5/Mgll/F2r	3
BEC	GO:0051931	regulation of sensory perception	3/186	17/9477	0.004129885047876121	0.08010499780493724	0.0671062656138165	Fabp5/Mgll/F2r	3
BEC	GO:0030198	extracellular matrix organization	9/186	160/9477	0.004225209316425483	0.08010499780493724	0.0671062656138165	Mmp15/Prdx4/Eln/Spint2/Cav1/Tie1/Tgfb1/Fbln2/Cav2	9
BEC	GO:0043062	extracellular structure organization	9/186	160/9477	0.004225209316425483	0.08010499780493724	0.0671062656138165	Mmp15/Prdx4/Eln/Spint2/Cav1/Tie1/Tgfb1/Fbln2/Cav2	9
BEC	GO:0045229	external encapsulating structure organization	9/186	160/9477	0.004225209316425483	0.08010499780493724	0.0671062656138165	Mmp15/Prdx4/Eln/Spint2/Cav1/Tie1/Tgfb1/Fbln2/Cav2	9
BEC	GO:2001057	reactive nitrogen species metabolic process	5/186	55/9477	0.004339382963820824	0.08113903072377825	0.06797250479497403	Atp2b4/Spr/Cd34/Cyb5r3/Cav1	5
BEC	GO:0010629	negative regulation of gene expression	24/186	694/9477	0.00459057734413104	0.0834397299536627	0.06989986685537987	Pink1/Hmgb1/H3f3a/Gnas/Tle5/Atp2b4/Pdcd4/Cuedc2/Tgfbr3/H1f0/Cd34/Cnpy2/Ctsz/Btg2/Cd24a/Tmem59/Erp29/Apoe/Pglyrp1/Paip2/Cbx3/Tgfb1/Hmgb2/Cldn5	24
BEC	GO:1903039	positive regulation of leukocyte cell-cell adhesion	8/186	133/9477	0.004608213444539857	0.0834397299536627	0.06989986685537987	Hmgb1/Fut7/Cd81/Chst2/Cav1/Cd24a/Tgfb1/Ccl21a	8
BEC	GO:0097006	regulation of plasma lipoprotein particle levels	4/186	35/9477	0.0046758366157905375	0.08419118107649666	0.07052937912086286	Cnpy2/Scarb1/Pltp/Apoe	4
BEC	GO:0060326	cell chemotaxis	9/186	163/9477	0.0047712288797185035	0.0851044542877999	0.07129445441422891	Hmgb1/Jam3/Enpp2/Bsg/Nr4a1/Nrp1/Hmgb2/Cxcl1/Ccl21a	9
BEC	GO:1901135	carbohydrate derivative metabolic process	21/186	581/9477	0.0048490414633918875	0.0851044542877999	0.07129445441422891	Fut7/Prxl2c/Ak3/Ctsl/Gm2a/Pde2a/Fuca1/Scp2/Psap/Itm2a/St3gal6/Chst2/Abcg2/Tmem59/Mpc1/Ddit4/Ost4/Pglyrp1/Tgfb1/Itih5/Ccl21a	21
BEC	GO:0034765	regulation of ion transmembrane transport	10/186	194/9477	0.004861145355632643	0.0851044542877999	0.07129445441422891	Atp2b4/Abcb1a/Tspan13/Dbi/Psen2/Ifngr1/Cav1/Tgfb1/Slc9a3r2/F2r	10
BEC	GO:0007039	protein catabolic process in the vacuole	3/186	18/9477	0.0048849903950490174	0.0851044542877999	0.07129445441422891	Cd81/Psap/Tpp1	3
BEC	GO:0051093	negative regulation of developmental process	20/186	544/9477	0.0049405080577193386	0.08515110946539801	0.07133353880129527	Pink1/Hmgb1/Tmem176a/Gnas/Tmem176b/Atp2b4/Pdcd4/Gtf2i/Tgfbr3/Lbh/Vat1/Cav1/Cd24a/Apoe/Tie1/Nrp1/Pglyrp1/Plk2/Tgfb1/Cldn5	20
BEC	GO:0003014	renal system process	5/186	57/9477	0.00506139087060802	0.08677054668068963	0.07269018803532795	Gnas/Psap/Aqp1/Abcg2/F2r	5
BEC	GO:0030193	regulation of blood coagulation	4/186	36/9477	0.005180969678422137	0.08788560670291866	0.07362430595652511	Cd34/Cav1/Apoe/F2r	4
BEC	GO:1900046	regulation of hemostasis	4/186	36/9477	0.005180969678422137	0.08788560670291866	0.07362430595652511	Cd34/Cav1/Apoe/F2r	4
BEC	GO:0050892	intestinal absorption	3/186	19/9477	0.005718049053514268	0.09450908768962302	0.07917298689481295	Abcb1a/Scarb1/Abcg2	3
BEC	GO:0071827	plasma lipoprotein particle organization	3/186	19/9477	0.005718049053514268	0.09450908768962302	0.07917298689481295	Scarb1/Pltp/Apoe	3
BEC	GO:1903578	regulation of ATP metabolic process	5/186	59/9477	0.005864700832995959	0.09594888723221306	0.08037914847253345	Pink1/Prxl2c/Cox7a2l/Pde2a/Ddit4	5
BEC	GO:0022600	digestive system process	4/186	38/9477	0.0062981785763673035	0.10129303919149835	0.08485609860907402	Abcb1a/Aqp1/Scarb1/Abcg2	4
BEC	GO:0043254	regulation of protein-containing complex assembly	13/186	301/9477	0.00631706511867551	0.10129303919149835	0.08485609860907402	Pink1/Hmgb1/Jam3/Stmn1/Arhgap18/Cotl1/Psen2/Eln/Cav1/Cd24a/Apoe/Tgfb1/Ccl21a	13
BEC	GO:0046034	ATP metabolic process	9/186	171/9477	0.006497848752000505	0.10359579919415876	0.08678518703823417	Pink1/Prxl2c/Ak3/Cox7a2l/Pde2a/Uqcrh/Ndufv3/Ddit4/Tgfb1	9
BEC	GO:0062012	regulation of small molecule metabolic process	10/186	203/9477	0.0066503782276943636	0.10404936421290745	0.08716515152803293	Hmgb1/Igfbp4/Prxl2c/Atp2b4/Dbi/Scp2/Fabp5/Cav1/Apoe/Ddit4	10
BEC	GO:0098609	cell-cell adhesion	16/186	414/9477	0.0073673048730235864	0.11184119937362307	0.09369259643462063	Hmgb1/Fut7/Gnas/Jam3/Cd81/Cd34/Bsg/Chst2/Spint2/Sparcl1/Cav1/Cd24a/Dusp3/Tgfb1/Cldn5/Ccl21a	16
BEC	GO:0070201	regulation of establishment of protein localization	15/186	378/9477	0.007428918481731819	0.11184119937362307	0.09369259643462063	Chp2/Pink1/Ptp4a3/Cd81/Ctsd/Bnip3l/Bsg/Ifi27/Nucb1/Ergic3/Erp29/Apoe/Tgfb1/Glul/F2r	15
BEC	GO:0007586	digestion	4/186	40/9477	0.007564809638054554	0.11184119937362307	0.09369259643462063	Abcb1a/Aqp1/Scarb1/Abcg2	4
BEC	GO:0090066	regulation of anatomical structure size	13/186	309/9477	0.007810538195445702	0.11338142015991244	0.09498288378273771	Dpysl2/C1qtnf9/Arhgap18/Tgfbr3/Cotl1/Aqp1/Eln/Cav1/Apoe/Nrp1/Mgll/F2r/Ccl21a	13
BEC	GO:0018958	phenol-containing compound metabolic process	4/186	41/9477	0.008256599951058135	0.11623324395444522	0.0973719387766063	Sult1a1/Ctsl/Spr/Pnkd	4
BEC	GO:0033619	membrane protein proteolysis	4/186	41/9477	0.008256599951058135	0.11623324395444522	0.0973719387766063	Psen2/Timp2/Apoe/Tgfb1	4
BEC	GO:0050886	endocrine process	4/186	41/9477	0.008256599951058135	0.11623324395444522	0.0973719387766063	Gnas/Selenom/Aqp1/F2r	4
BEC	GO:0048771	tissue remodeling	7/186	118/9477	0.008483594598990367	0.11787352461882471	0.09874604916873309	Tgfbr3/Tpp1/Eln/Cav1/Cd24a/Tie1/F2r	7
BEC	GO:0050730	regulation of peptidyl-tyrosine phosphorylation	8/186	148/9477	0.008651934263181778	0.11787352461882471	0.09874604916873309	Cd81/Enpp2/Psen2/Cav1/Cd24a/Nrp1/Tgfb1/Cav2	8
BEC	GO:0021591	ventricular system development	3/186	22/9477	0.008704281371169804	0.11787352461882471	0.09874604916873309	Grcc10/Dbi/Aqp1	3
BEC	GO:0030149	sphingolipid catabolic process	3/186	22/9477	0.008704281371169804	0.11787352461882471	0.09874604916873309	Gm2a/Psap/Enpp2	3
BEC	GO:0045907	positive regulation of vasoconstriction	3/186	22/9477	0.008704281371169804	0.11787352461882471	0.09874604916873309	Cav1/Mgll/F2r	3
BEC	GO:0090218	positive regulation of lipid kinase activity	3/186	22/9477	0.008704281371169804	0.11787352461882471	0.09874604916873309	Cd81/Tgfb1/Ccl21a	3
BEC	GO:0007009	plasma membrane organization	6/186	92/9477	0.009325103454822794	0.12095234199446066	0.10132526322837226	Mtss1/Psap/Cavin2/Cav1/Tie1/Cav2	6
BEC	GO:0043280	positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	6/186	92/9477	0.009325103454822794	0.12095234199446066	0.10132526322837226	Hmgb1/Bok/Dap/Ctsd/Mtch1/F2r	6
