gene	1_p_val	1_avg_log2FC	1_pct.1	1_pct.2	1_p_val_adj	2_p_val	2_avg_log2FC	2_pct.1	2_pct.2	2_p_val_adj	max_pval	minimump_p_val	cell_type_2
H2afv	2.1324226193835306e-230	-0.5523347272628719	0.154	0.685	4.489389340588147e-226	7.966016572202059e-222	-0.53094975722296045	0.131	0.696	1.6770854689456995e-217	7.966016572202059e-222	4.264845238766648e-230	FRC
Pdlim2	4.660972190068314e-214	-0.3906215506091198	0.048	0.422	9.812744751750822e-210	0	-0.47021836464634537	0.043	0.503	0	4.660972190068314e-214	0	FRC
Slc9a3r2	1.2500899842134948e-216	-0.42897706234032	0.057	0.457	2.6318144437646706e-212	5.614385271609297e-211	-0.4086899186381444	0.063	0.49	1.1819965312319052e-206	5.614385271609297e-211	2.5001799684269812e-216	FRC
Nrp1	6.59869894076502e-210	-0.729857763201777	0.191	0.708	1.3892240879992597e-205	2.4554846204209095e-218	-0.739962576088551	0.169	0.747	5.169531771372141e-214	6.59869894076502e-210	4.910969240841761e-218	FRC
Pdcd4	1.9294482732930772e-212	-0.5567578041046727	0.162	0.68	4.062067449763915e-208	2.0670532592577874e-207	-0.540517752972766	0.124	0.65	4.35176722671542e-203	2.0670532592577874e-207	3.858896546586127e-212	FRC
Tle5	2.63567716072957e-208	-0.7593149828520847	0.313	0.801	5.5488911264839634e-204	4.035660468288479e-206	-0.7738657285677131	0.272	0.838	8.496275983887735e-202	4.035660468288479e-206	5.271354321459289e-208	FRC
Cntfr	1.0623163347834875e-205	-0.2739424773385212	0.03	0.348	2.236494579619676e-201	4.870306102218542e-221	-0.2659573190011702	0.029	0.353	1.0253455437000696e-216	1.0623163347834875e-205	9.740612204436914e-221	FRC
Acaa2	2.5435174716312565e-246	-0.4307443839918336	0.091	0.585	5.354867333025284e-242	7.835697225800029e-205	-0.3455550946753368	0.069	0.506	1.6496493369476801e-200	7.835697225800029e-205	5.087034943262199e-246	FRC
Aspn	1.3658541190629682e-241	-0.8186952003654553	0.086	0.554	2.8755326768632667e-237	1.3456124651928557e-204	-0.6240801111151675	0.06	0.462	2.832917922970519e-200	1.3456124651928557e-204	2.7317082381258042e-241	FRC
Bok	2.032604997198375e-201	-0.37811101093370236	0.071	0.478	4.279243300601739e-197	5.973739749264999e-271	-0.43177901943340713	0.066	0.566	1.2576514294127603e-266	2.032604997198375e-201	1.1947479498529343e-270	FRC
Aldh2	3.7921775555920636e-201	-0.7720114322214127	0.292	0.775	7.983671407787972e-197	1.1650404473857913e-226	-0.7345281947404534	0.201	0.798	2.4527596538813064e-222	3.7921775555920636e-201	2.3300808947714847e-226	FRC
Ndrg2	1.561603193941046e-200	-0.5380325849996408	0.102	0.548	3.2876432042040844e-196	2.1168463942525298e-210	-0.47269298376526253	0.088	0.568	4.4565967138198507e-206	1.561603193941046e-200	4.233692788505009e-210	FRC
Sspn	5.4652901714330384e-250	-0.36107554990185525	0.054	0.483	1.1506075397917976e-245	1.4468020540849126e-198	-0.2681496407477444	0.049	0.427	3.0459523644649665e-194	1.4468020540849126e-198	1.0930580342865084e-249	FRC
Rnaseh2c	1.2869008846505115e-196	-0.41465217581502706	0.123	0.598	2.709312432454722e-192	1.7955816074249937e-230	-0.4364516003898934	0.094	0.615	3.7802379581118394e-226	1.2869008846505115e-196	3.59116321484961e-230	FRC
Gstm1	1.656455310090159e-196	-0.9783614838910579	0.377	0.819	3.4873353643328116e-192	3.0487542905831725e-242	-1.122953547765942	0.302	0.891	6.418542407964754e-238	1.656455310090159e-196	6.097508581165907e-242	FRC
Mxd4	8.481500800060278e-225	-0.7425791080125734	0.268	0.787	1.7856103634366904e-220	2.08888570597976e-191	-0.6409795387846563	0.218	0.787	4.3977310767991884e-187	2.08888570597976e-191	1.6963001600119278e-224	FRC
Ech1	3.210123453381577e-191	-0.6037340170897635	0.247	0.75	6.758272906404234e-187	1.0974982284863689e-225	-0.6607400347149464	0.179	0.77	2.3105630204323526e-221	3.210123453381577e-191	2.1949964569725375e-225	FRC
Mxra7	4.8647016159941457e-191	-0.504475521103609	0.161	0.649	1.0241656312152474e-186	1.0586361889996679e-203	-0.5289438371663552	0.128	0.659	2.2287467687010007e-199	4.8647016159941457e-191	2.1172723779993414e-203	FRC
Fzd2	3.474325605663918e-198	-0.2598902653916477	0.035	0.362	7.314497697604246e-194	2.0563072254546157e-190	-0.25359007128116723	0.036	0.362	4.3291436017496024e-186	2.0563072254546157e-190	6.948651211327714e-198	FRC
Fhl1	2.747912193884823e-197	-0.35425528701395836	0.037	0.364	5.785179541785718e-193	1.6373546655955732e-187	-0.3094054961140403	0.032	0.341	3.4471227774783603e-183	1.6373546655955732e-187	5.495824387769745e-197	FRC
Ssbp3	1.587045773954686e-213	-0.3255941539003281	0.067	0.494	3.3412074679068005e-209	1.665178588744628e-186	-0.31189341076656873	0.074	0.508	3.505700482884065e-182	1.665178588744628e-186	3.1740915479093286e-213	FRC
Fcgrt	5.632342234372321e-191	-0.6748171013837665	0.243	0.721	1.185777010602405e-186	3.253385552291795e-180	-0.5785545528562983	0.195	0.745	6.849352603239916e-176	3.253385552291795e-180	1.1264684468744892e-190	FRC
Hadh	3.9989205638206234e-265	-0.43763659906248953	0.086	0.594	8.418927463011558e-261	6.400590682233316e-178	-0.34220534210045506	0.084	0.52	1.34751635633058e-173	6.400590682233316e-178	7.997841127640974e-265	FRC
Wipi1	3.6825836590525484e-261	-0.5254778098381224	0.116	0.65	7.75294337740333e-257	2.0736666332681865e-175	-0.3804080733330265	0.102	0.564	4.365690363019513e-171	2.0736666332681865e-175	7.365167318104745e-261	FRC
Adamts10	2.274368893371241e-173	-0.37193719698636324	0.091	0.499	4.788228831214473e-169	2.803770395763266e-178	-0.3953829213353711	0.081	0.503	5.902777814200404e-174	2.274368893371241e-173	5.607540791526576e-178	FRC
Gulp1	3.0560048994807834e-183	-0.30053834777273913	0.064	0.446	6.433807114876893e-179	3.8825053351292876e-172	-0.27588182517184867	0.059	0.436	8.173838482047689e-168	3.8825053351292876e-172	6.112009798961457e-183	FRC
Tcf7l1	3.214952965100087e-169	-0.3829398862414808	0.108	0.534	6.768440477425213e-165	1.9124345714236342e-169	-0.36211701285243225	0.102	0.561	4.026248503218177e-165	3.214952965100087e-169	3.824869142847241e-169	FRC
Slc29a1	1.196915660743177e-167	-0.5155734557116595	0.185	0.652	2.5198665405626105e-163	1.5036999544908863e-178	-0.5347720956229056	0.16	0.698	3.165739514189663e-174	1.196915660743177e-167	3.007399908981735e-178	FRC
Jup	9.903357723644212e-179	-0.26929852899171897	0.042	0.367	2.084953901558816e-174	5.733057015171016e-167	-0.2681986057937828	0.047	0.381	1.206980493403954e-162	5.733057015171016e-167	1.9806715447288282e-178	FRC
Mxra8	4.89414813258553e-221	-0.5438055906625683	0.115	0.598	1.0303650063532315e-216	3.0229187265910225e-164	-0.4155830248379207	0.108	0.557	6.36415079509208e-160	3.0229187265910225e-164	9.78829626517121e-221	FRC
Gstm2	1.7094426480140384e-163	-0.7280980839644637	0.332	0.768	3.598889606863955e-159	1.2604116520683028e-210	-0.8440990905193524	0.265	0.833	2.653544651099398e-206	1.7094426480140384e-163	2.5208233041366485e-210	FRC
Selenoh	2.450576022004388e-170	-0.29533016783614874	0.068	0.436	5.159197699125838e-166	4.673650967933257e-162	-0.32728674781710654	0.074	0.469	9.839437382789885e-158	4.673650967933257e-162	4.901152044008655e-170	FRC
Cavin2	1.4497451753814505e-179	-0.5743288141891911	0.088	0.494	3.052148517730568e-175	5.979354981587387e-162	-0.507102717809996	0.091	0.51	1.2588336042735927e-157	5.979354981587387e-162	2.899490350762936e-179	FRC
Ano1	1.1539985083773678e-157	-0.38793287918439534	0.058	0.392	2.4295130596868726e-153	3.823864116197149e-209	-0.4332515614058821	0.059	0.476	8.050381123829858e-205	1.1539985083773678e-157	7.647728232394175e-209	FRC
Ttc28	3.434292212638545e-250	-0.4764257974352139	0.099	0.613	7.230215395267929e-246	5.408499133717068e-157	-0.41913807822808635	0.122	0.587	1.1386513226214544e-152	5.408499133717068e-157	6.868584425276688e-250	FRC
Iah1	1.09163224130808e-155	-0.44622352173191093	0.176	0.626	2.298213357625901e-151	2.9878863773805294e-196	-0.5122368522690046	0.145	0.687	6.290397190299229e-192	1.09163224130808e-155	5.975772754760913e-196	FRC
Chp2	8.35820391177222e-151	-0.4745120734626285	0.015	0.351	1.7596526695454056e-146	1.0986797535242378e-174	-0.32323544739380417	0.013	0.287	2.3130504850945776e-170	8.35820391177222e-151	2.197359507048478e-174	BEC
H3f3a	4.365315950805063e-150	-0.4196467520212226	0.889	0.938	9.1902996712299e-146	1.576074078927357e-157	-0.5731365277943339	0.806	0.937	3.3181087583657644e-153	4.365315950805063e-150	3.152148157854806e-157	FRC
Ypel3	3.611057183827147e-168	-0.49990618023332944	0.043	0.456	7.602358689111293e-164	3.703112869817966e-149	-0.37041132289516365	0.07	0.458	7.796163524827763e-145	3.703112869817966e-149	7.222114367654443e-168	BEC
Gucy1a1	1.0300915724681723e-148	-0.6710469642515946	0.144	0.547	2.1686517875172432e-144	3.674899926540721e-222	-0.7451018690981608	0.114	0.631	7.736766815346179e-218	1.0300915724681723e-148	7.349799853081482e-222	FRC
Nedd4	1.3018943712731597e-171	-0.5480046292431515	0.816	0.896	2.7408782198413832e-167	2.6413364835691364e-145	-0.5186009340815696	0.788	0.937	5.560805698858103e-141	2.6413364835691364e-145	2.603788742546278e-171	FRC
Tmem119	1.992877410149986e-170	-0.31399008781589705	0.037	0.337	4.1956048115887655e-166	2.215352904186922e-144	-0.33218812553168803	0.038	0.318	4.663982469184727e-140	2.215352904186922e-144	3.98575482029988e-170	FRC
Dap	5.0726360925855353e-144	-0.4769721966174121	0.186	0.61	1.0679420765720328e-139	3.8713570850600895e-150	-0.4382775028041088	0.153	0.638	8.150368071177006e-146	5.0726360925855353e-144	7.742714170120234e-150	FRC
Dync2li1	1.1944505657183328e-143	-0.26229955252979753	0.069	0.404	2.514676776006806e-139	3.031418429375913e-188	-0.2689257547084332	0.061	0.459	6.382045219365109e-184	1.1944505657183328e-143	6.062836858751935e-188	FRC
Gstm5	4.073383302902869e-143	-0.4267765107572969	0.164	0.587	8.57569386760141e-139	1.3782207700114103e-153	-0.3956821404892925	0.125	0.582	2.901568187105022e-149	4.073383302902869e-143	2.7564415400228064e-153	FRC
Hist1h2bc	4.21117565067401e-143	-0.318294466182512	0.08	0.431	8.865788097363993e-139	7.741198725254409e-162	-0.3367550647320279	0.068	0.448	1.6297545676278107e-157	4.21117565067401e-143	1.54823974505091e-161	FRC
Anp32a	9.998899609760087e-143	-0.4961920536981287	0.217	0.668	2.105068334842791e-138	2.58138975755954e-178	-0.5665215197369946	0.197	0.754	5.4345998565901e-174	9.998899609760087e-143	5.162779515119011e-178	FRC
Tm7sf3	4.233236666889641e-163	-0.3720878121634152	0.12	0.548	8.912233154802762e-159	2.5060060016639316e-142	-0.3256729829780293	0.095	0.501	5.275894435303075e-138	2.5060060016639316e-142	8.466473333779471e-163	FRC
Sptssa	2.3975620922723524e-141	-0.45711580919982053	0.245	0.698	5.047587472860984e-137	8.015654599624872e-151	-0.4659231570445517	0.195	0.717	1.6875357628590244e-146	2.3975620922723524e-141	1.60313091992496e-150	FRC
Gpx4	3.2254236932517715e-146	-0.6170756381886644	0.621	0.861	6.790484501402954e-142	4.1910107937086153e-141	-0.686059056931971	0.565	0.886	8.823335023994748e-137	4.1910107937086153e-141	6.450847386503512e-146	FRC
Snapc5	1.1446683855263352e-140	-0.2971117510533933	0.119	0.52	2.4098703520485935e-136	3.912784562557875e-174	-0.3561706709146891	0.091	0.534	8.237585339553094e-170	1.1446683855263352e-140	7.825569125115959e-174	FRC
Myl12b	1.6236733667677417e-140	-0.5910209417000656	0.409	0.786	3.4183195390561266e-136	1.779823774483827e-155	-0.6589423024970462	0.338	0.838	3.747062992420801e-151	1.6236733667677417e-140	3.559647548967718e-155	FRC
Fbn2	3.867899687643372e-192	-0.4235747166265098	0.058	0.429	8.14308921239559e-188	5.443164623727182e-140	-0.31309576899282265	0.051	0.362	1.1459494482332836e-135	5.443164623727182e-140	7.73579937528658e-192	FRC
Plin3	1.874116709770148e-139	-0.3593839120151735	0.159	0.591	3.945577909079093e-135	6.60542176617028e-151	-0.37562880798146964	0.129	0.596	1.3906394444318292e-146	1.874116709770148e-139	1.3210843532340255e-150	FRC
1810058I24Rik	1.1483439284268625e-157	-0.5989249845774329	0.319	0.764	2.4176084725170737e-153	3.5070426377280757e-138	-0.5550536346685278	0.265	0.77	7.383376865208918e-134	3.5070426377280757e-138	2.2966878568537095e-157	FRC
Chst2	3.726234630123283e-135	-0.3834395131704298	0.084	0.427	7.844841766798547e-131	5.455801684185494e-166	-0.3958799148711498	0.079	0.487	1.148609928571572e-161	3.726234630123283e-135	1.09116033683713e-165	FRC
Cd81	1.3557437481028922e-140	-0.5736354837806775	0.739	0.9	2.8542473128810188e-136	7.528274719618803e-133	-0.613027079010809	0.697	0.93	1.5849276767213467e-128	7.528274719618803e-133	2.711487496205853e-140	FRC
Ift27	2.488908642422187e-134	-0.3279333936951524	0.149	0.562	5.23989936489143e-130	7.319339183649765e-132	-0.3120776590805606	0.113	0.531	1.540940478333785e-127	7.319339183649765e-132	4.977817284844337e-134	FRC
Zbtb20	1.1157545116899608e-191	-0.8659066950264398	0.385	0.835	2.3489979734608746e-187	3.0025876148276804e-131	-0.6920801175702785	0.402	0.872	6.321347705496716e-127	3.0025876148276804e-131	2.2315090233799237e-191	FRC
Dpysl2	3.5646488416746876e-145	-0.5322862934955616	0.26	0.708	7.50465520637772e-141	6.614992981902363e-131	-0.5233256137634494	0.253	0.768	1.3926544724799046e-126	6.614992981902363e-131	7.129297683349362e-145	FRC
Tmem86a	8.731431967898434e-131	-0.3117362794115355	0.051	0.33	1.8382283722016572e-126	2.913308534618333e-181	-0.31709547919164177	0.041	0.369	6.133388457931976e-177	8.731431967898434e-131	5.826617069236609e-181	FRC
Marveld1	1.450402955077556e-164	-0.32979050859598313	0.1	0.511	3.0535333413247785e-160	9.564554110881765e-131	-0.2858299939156358	0.094	0.487	2.013625576963938e-126	9.564554110881765e-131	2.9008059101551955e-164	FRC
Ablim1	3.0545268931305655e-251	-0.547936647294903	0.113	0.636	6.43069546810778e-247	1.8252595110436812e-130	-0.37911188761670667	0.149	0.61	3.8427188486002624e-126	1.8252595110436812e-130	6.109053786261013e-251	FRC
Serf1	2.4794957182886723e-130	-0.3694145506802106	0.13	0.51	5.220082335713142e-126	3.7990088799935525e-201	-0.4273937256374375	0.1	0.589	7.998053395050426e-197	2.4794957182886723e-130	7.598017759987135e-201	FRC
Nfic	4.235048534413222e-171	-0.6465522119796969	0.329	0.787	8.916047679500157e-167	2.9236319708740196e-129	-0.5792625350086466	0.323	0.821	6.155122388281073e-125	2.9236319708740196e-129	8.470097068826259e-171	FRC
Mcee	3.679542992112172e-130	-0.27203384327309266	0.115	0.503	7.746541861293756e-126	1.1397050222830708e-127	-0.2797138345731839	0.104	0.508	2.399420983412549e-123	1.1397050222830708e-127	7.359085984224213e-130	FRC
Rnf130	1.4568892091358465e-126	-0.35223154944156	0.144	0.538	3.0671888519936977e-122	1.0922835223185152e-139	-0.3163574021969101	0.116	0.557	2.29958449953717e-135	1.4568892091358465e-126	2.184567044637015e-139	FRC
Slc49a4	1.2858028611724114e-127	-0.26843201586692195	0.098	0.457	2.7070007636262778e-123	1.081374557973769e-125	-0.2536022112051338	0.08	0.441	2.2766178569021757e-121	1.081374557973769e-125	2.5716057223447633e-127	FRC
Gpc6	1.586984640433404e-123	-0.3979599292536352	0.129	0.503	3.341078763504445e-119	1.4404627977030875e-152	-0.38534431649517453	0.086	0.487	3.03260632800431e-148	1.586984640433404e-123	2.880925595406165e-152	FRC
Tsc22d3	8.19604939832672e-135	-0.3919783322202378	0.147	0.568	1.7255142798297242e-130	1.1410363847119054e-122	-0.33054390884041335	0.117	0.529	2.4022239007339744e-118	1.1410363847119054e-122	1.6392098796653918e-134	FRC
Ak3	5.819528712608559e-163	-0.36164747122019125	0.123	0.552	1.22518537986548e-158	1.3116136901005547e-122	-0.29781688246055277	0.102	0.49	2.7613403017686977e-118	1.3116136901005547e-122	1.163905742521696e-162	FRC
Poglut3	6.999922654473489e-132	-0.31611063809906725	0.131	0.525	1.4736937164463036e-127	1.677805633344231e-122	-0.2803849837549841	0.106	0.503	3.5322841998796097e-118	1.677805633344231e-122	1.3999845308946929e-131	FRC
Gnas	1.672932416633193e-123	-0.28983728328883185	0.945	0.947	3.522024616737861e-119	3.0254023537534e-122	-0.3149526779457923	0.922	0.951	6.369379575357033e-118	3.0254023537534e-122	3.345864833266408e-123	FRC
Nkd1	3.432160500100794e-122	-0.2753427719520841	0.079	0.399	7.225727500862201e-118	1.5725945179603947e-249	-0.4180638105277013	0.058	0.515	3.310783238662019e-245	3.432160500100794e-122	3.145189035920698e-249	FRC
Mfap2	5.999517791955071e-122	-0.568223950880217	0.148	0.52	1.2630784807403012e-117	5.388839795412412e-136	-0.4595670620408812	0.1	0.494	1.134512442128175e-131	5.999517791955071e-122	1.0777679590824753e-135	FRC
Nfia	6.418623862985613e-177	-0.7577260616298769	0.414	0.824	1.351312881874361e-172	8.050468124322813e-122	-0.6448573635149766	0.443	0.856	1.6948650542136817e-117	8.050468124322813e-122	1.2837247725971324e-176	FRC
Camk1	9.661348175083472e-145	-0.3411077975662835	0.12	0.529	2.0340036313003235e-140	3.176302101767633e-121	-0.3031500202558131	0.104	0.497	6.687068814851397e-117	3.176302101767633e-121	1.9322696350167206e-144	FRC
Grcc10	7.302385945139897e-120	-0.5402024439694604	0.397	0.759	1.5373713130303025e-115	2.2288316116640178e-128	-0.5927445880150838	0.377	0.849	4.692359192036257e-124	7.302385945139897e-120	4.457663223328085e-128	FRC
Tppp3	3.393170377187017e-165	-0.5357891796831291	0.096	0.492	7.143641595091827e-161	2.608887983085363e-119	-0.354470293512435	0.084	0.434	5.4924918707896145e-115	2.608887983085363e-119	6.78634075437405e-165	FRC
Phactr2	1.197700762942986e-150	-0.34279980300340646	0.097	0.487	2.5215194162238686e-146	3.7768968994489926e-119	-0.27792797458511187	0.083	0.436	7.951501042409964e-115	3.7768968994489926e-119	2.395401525885936e-150	FRC
Smarca2	1.0836652696704597e-146	-0.5259612458387669	0.23	0.673	2.2814404922372186e-142	1.6363788023860284e-118	-0.47817198485404655	0.217	0.682	3.445068292663306e-114	1.6363788023860284e-118	2.1673305393409736e-146	FRC
Selenop	1.1310898600523557e-121	-0.8611761021661888	0.347	0.689	2.3812834823682244e-117	1.261735927600959e-117	-0.8118652262520915	0.413	0.755	2.656332648378299e-113	1.261735927600959e-117	2.2621797201046866e-121	BEC
Ctsf	3.535648748447266e-143	-0.3289607001848094	0.117	0.517	7.443601310106029e-139	1.671515882550187e-117	-0.2718564652334896	0.094	0.462	3.5190423875329084e-113	1.671515882550187e-117	7.071297496894674e-143	FRC
Fxyd1	3.521455999476197e-117	-0.5946329416896972	0.353	0.749	7.413721315697238e-113	6.90150051752467e-123	-0.5788690461208081	0.28	0.775	1.4529729039544688e-118	3.521455999476197e-117	1.3803001035048987e-122	FRC
Acadm	9.93361744315152e-128	-0.34192010497694636	0.155	0.566	2.0913244803066893e-123	1.1994588243143215e-116	-0.3008072372665357	0.121	0.524	2.525220662828941e-112	1.1994588243143215e-116	1.9867234886302667e-127	FRC
Nrep	7.517920392910503e-173	-0.3974537009860324	0.051	0.388	1.5827477803194482e-168	4.2930828669044746e-116	-0.25314025199886253	0.043	0.309	9.03822735969399e-112	4.2930828669044746e-116	1.5035840785820925e-172	FRC
Gm2a	7.178321420441272e-122	-0.3010331313835273	0.128	0.508	1.511252008645501e-117	1.6949329640360894e-114	-0.2790734702304185	0.1	0.471	3.5683423691851787e-110	1.6949329640360894e-114	1.4356642840882573e-121	FRC
Bnip3l	3.515687314384508e-157	-0.5571704042031855	0.284	0.74	7.401576502973705e-153	2.3166363807558467e-114	-0.4889516414862888	0.27	0.752	4.877214572405284e-110	2.3166363807558467e-114	7.031374628768991e-157	FRC
Crip1	2.6579150516016827e-124	-0.7965437654475581	0.547	0.882	5.595708558137023e-120	1.412801619361019e-113	-0.7922500689410519	0.563	0.937	2.9743712492407537e-109	1.412801619361019e-113	5.315830103203303e-124	FRC
Chd3	2.6716203317013964e-133	-0.3890337170308794	0.17	0.596	5.62456228433095e-129	1.6628145232398176e-113	-0.36432303861148263	0.157	0.587	3.500723415776788e-109	1.6628145232398176e-113	5.343240663402677e-133	FRC
Pnkd	2.4589053242124154e-113	-0.3654986862029733	0.19	0.591	5.176733379064398e-109	1.015302353930787e-123	-0.3730701121622165	0.165	0.626	2.137516045730486e-119	2.4589053242124154e-113	2.030604707861602e-123	FRC
Peg3	1.0438598541688325e-261	-0.5414210069674062	0.037	0.432	2.197638150981643e-257	5.7292300204075e-113	-0.27882749468112156	0.034	0.267	1.206174796196391e-108	5.7292300204075e-113	2.0877197083376443e-261	FRC
Cd300lg	4.77770012523997e-148	-0.9652064195467832	0.308	0.721	1.0058492073667709e-143	2.191305307078833e-112	-0.8102557942118249	0.353	0.737	4.613355062993067e-108	2.191305307078833e-112	9.555400250480006e-148	BEC
Rps27	2.676680796073232e-112	-0.25826993879272875	0.905	0.926	5.635216079972976e-108	2.3372509144514504e-174	-0.35464995287299006	0.928	0.984	4.920614350194638e-170	2.676680796073232e-112	4.674501828903022e-174	BEC
Cygb	9.23394956576349e-148	-0.7151609439962286	0.282	0.726	1.9440234020801875e-143	3.921675941556631e-111	-0.6604618176490382	0.287	0.733	8.256304359759175e-107	3.921675941556631e-111	1.8467899131526967e-147	FRC
Rasgrp2	7.425026334067034e-111	-0.3920005010983734	0.099	0.418	1.5631907941111326e-106	2.4734289369659832e-145	-0.43091572582264714	0.119	0.559	5.2073099409944844e-141	7.425026334067034e-111	4.946857873931934e-145	FRC
Daam2	1.3137873954706164e-110	-0.2522868655037478	0.057	0.329	2.765916603684289e-106	1.6921476712588369e-134	-0.27299496944527457	0.055	0.374	3.562478492301229e-130	1.3137873954706164e-110	3.3842953425176913e-134	FRC
Foxn3	1.210727286839061e-183	-0.4624824183036851	0.156	0.643	2.548944156982275e-179	4.892444057613593e-110	-0.335767665500043	0.148	0.571	1.0300062474493896e-105	4.892444057613593e-110	2.4214545736780705e-183	FRC
Idh1	2.9744058187682224e-163	-0.4348644242867653	0.143	0.587	6.262016570252739e-159	1.6284906539963296e-109	-0.3261192735975667	0.137	0.55	3.428461373858473e-105	1.6284906539963296e-109	5.948811637536494e-163	FRC
Cmtm8	4.342702117854694e-109	-0.3663424557398068	0.05	0.364	9.142690768719489e-105	4.2224034787298153e-110	-0.31840970542921554	0.089	0.44	8.88942604376988e-106	4.342702117854694e-109	8.444806957459745e-110	BEC
Stmn1	8.978047545941362e-108	-0.2587262038223986	0.041	0.279	1.8901483498470348e-103	6.428269909012434e-128	-0.2963514362986768	0.045	0.329	1.3533436639443878e-123	8.978047545941362e-108	1.285653981802456e-127	FRC
Pxdn	3.020162872603135e-153	-0.3588257579049102	0.104	0.503	6.358348895691381e-149	1.5169076666789204e-107	-0.3075527593935747	0.091	0.432	3.193545710659131e-103	1.5169076666789204e-107	6.040325745206119e-153	FRC
Sult1a1	3.876120688713641e-152	-0.7296889888514364	0.083	0.51	8.160396885948828e-148	2.5619964411309503e-106	-0.62572554040702	0.151	0.542	5.39377110751299e-102	2.5619964411309503e-106	7.75224137742711e-152	BEC
Adamts5	3.2115102576284043e-134	-0.5580828298971339	0.102	0.459	6.761192545385079e-130	2.8215940403862865e-106	-0.5262880715595945	0.111	0.462	5.940301933225249e-102	2.8215940403862865e-106	6.423020515256804e-134	FRC
Plekhh2	4.708140822263308e-106	-0.2789432017172515	0.102	0.429	9.912048873110942e-102	1.969773880124036e-129	-0.28044989456752945	0.077	0.432	4.1469649498251327e-125	4.708140822263308e-106	3.939547760247985e-129	FRC
Hcfc1r1	7.980576596378475e-106	-0.45869979268048255	0.258	0.647	1.6801507908355605e-101	3.2379849481177483e-128	-0.48786947679031334	0.21	0.701	6.816929711272296e-124	7.980576596378475e-106	6.475969896235505e-128	FRC
Gtf2i	2.5371172440917764e-142	-0.3448658013762267	0.158	0.596	5.3413929339864166e-138	8.6330345342902e-106	-0.34347186643426986	0.168	0.599	1.8175127605041157e-101	8.6330345342902e-106	5.074234488183562e-142	FRC
